Placename,Note,geographic,language
Agitsta'ti'yi,"""where they stayed up all night,"" from tsigitsun'tihu, ""I stay up all night."" A place in the Great Smoky range about the head of Noland creek, in Swain County, N.C.","Noland creek, in Swain County, N.C.",English
Aguaquiri--see Guaquili.,"Akwe'ti'yia location on Tuckasegee river, in Jackson county, North Carolina; the meaning of the name is lost.","Tuckasegee river, in Jackson county, North Carolina",English
Alarka--see Yalagi.,,,English
Amaye'l-e'gwa,"""Great island,"" from amaye'li, island (from ama', water, and aye'li, ""in the middle"") and e'gwa, great. A former Cherokee settlement on Little Tennessee river, at Big island, a short distance below the mouth of Tellico, in Monroe county, Tenn. Timberlake writes it Mialaquo, while Bartram spells it Nilaque. Not to be confounded with Long-Island town below Chattanooga.","Little Tennessee river, at Big island, a short distance below the mouth of Tellico, in Monroe county, Tenn",English
Amaye'li-gunahi'ta,"""Long-island,"" from amaye'li, island, and gunahi'ta, long. A former Cherokee settlement, known to the whites as Long-Island town, at the Long-island in Tennessee river, on the Tennessee-Georgia line. It was one of the Chickamauga towns (see Tsikama'gi).","Long-island in Tennessee river, on the Tennessee-Georgia lin",English
Ani'-Kawit'ta,"the Lower Creeks, from Kawi'ta or Coweta, their former principal town on Chattahoochee river near the present Columbus, Ga.; the Upper Creeks on the head streams of Alabama river were distinguished as Ani'-Ku'sa (q. v.). A small creek of Little Tennessee river above Franklin, in Macon county, N. C., is now known as Coweeta creek.","Little Tennessee river above Franklin, in Macon county, N. C",English
Ani'-Kitu'hwagi,"""Kitu'hwa people,"" from Kitu'hwa (q. v.), an ancient Cherokee settlement.",,English
Ani'-Ku'sa or Ani'-Gu'sa,"the Creek Indians, particularly the Upper Creeks on the waters of Alabama river; singular A'Kus'sa or Coosa (Spanish, Coca, Cossa) their principal ancient town.",Upper Creeks on the waters of Alabama river,English
Ani'-sgayaiyi,"""Men town"" (?), a traditional Cherokee settlement on Valley river, in Cherokee county, North Carolina.","Valley river, in Cherokee county, North Carolina",English
Ani'-Wa'dihi',"""Place of the Paint people or clan""; Paint town, a Cherokee settlement on lower Soco creek, within the reservation in Jackson and Swain counties, North Carolina. It takes its name from the Ani'-Wa'di or Paint clan.","Soco creek, within the reservation in Jackson and Swain counties, North Carolin",English
Aquone,"a post-office on Nantahala river, in Mason county, North Carolina, site of the former Fort Scott. Probably a corruption of egwani, river.","Nantahala river, in Mason county, North Carolina",English
Atahi'ta,"abbreviated from Atahitun'yi, ""Place where they shouted,"" from gata'hiu', ""I shout,"" and yi, locative. Waya gap, on the ridge west of Franklin, Macon county, North Carolina. The map name is probably from the Cherokee wa ya, wolf.","Franklin, Macon county, North Carolina",English
Atala'nuwa',"""Tla'nuwa hole""; the Cherokee name of Chattanooga, Tennessee (see Tsatanu'gi); originally applied to a bluff on the south side of the Tennessee river, at the foot of the present Market street.", Market street Chattanooga Tennessee,English
Atsi'la-wa'i,"""Fire--""; a mountain sometimes known as Rattlesnake knob, about two miles northeast of Cherokee, Swain county, N. C.","Cherokee, Swain county, N. C.",English
A'tsina'-k ta'um,"""Hanging cedar place""; from a'tsina', cedar, and k ta'un, ""where it (long) hangs down""; a Cherokee name for the old Taskigi town on the Little Tennessee river in Monroe county, Tenn.","Monroe county, Tenn.",English
Atsun'sta ti'yi (abbreviated Atsun'sta ti),"""Fire-light place,"" referring to the ""fire-hunting"" method of killing deer in the river at night. The proper form for Chestatee river, near Dahlonega, in Lumpkin county, Ga.","Lumpkin county, Ga.",English
Ayuhwa'si,"the proper form of the name commonly written Hiwassee. It signifies a savanna or meadow and was applied to two (or more) former Cherokee settlements. The more important, commonly distinguished as Ayuhwa'si Egwa'hi or Great Hiwassee, was on the north bank of Hiwassee river at the present Savannah ford above Columbus, in Polk county, Tenn. The other was farther up the same river, at the junction of Peach-tree creek, above Murphy, in Cherokee county, N. C. Lanman writes it Owassa.","Savannah ford above Columbus, in Polk county, Tenn",English
Ayulsu'--see Dayulsun'yi.,,,English
Beaverdam--see Uy'gila'gi.,,,English
